prompt_id,pronoun_sequence_id,stereotype_group_id,cos_similarity: male vs female,cos_similarity: male vs neutral,cos_similarity: female vs neutral
1,1,"Career, Education, and Finance",0.855345304817288,0.7469696621532483,0.6930770108357138
1,2,"Career, Education, and Finance",0.6313992296726214,0.6300616826085208,0.7367350283820163
1,3,"Career, Education, and Finance",0.6205404934568627,0.6583558416326828,0.5565301848778841
1,4,"Career, Education, and Finance",0.8356805438204797,0.7455103600129547,0.7955922565558557
1,5,"Career, Education, and Finance",0.545134576863285,0.7099526175225968,0.5052057597148855
1,6,"Career, Education, and Finance",0.4908971903769928,0.4740418334075892,0.8597384391272116
1,7,"Career, Education, and Finance",0.6362951851824342,0.4367874024942272,0.6106956830735353
1,8,"Career, Education, and Finance",0.8765073881779708,0.7624873036906273,0.7999306886740947
1,9,"Career, Education, and Finance",0.9101076107613956,0.878589080022064,0.8668064930821366
1,10,"Career, Education, and Finance",0.902365675983022,0.8083381779248338,0.78775313654249
1,11,"Career, Education, and Finance",0.8531827103848012,0.7725609476210302,0.7340494358212173
1,12,"Career, Education, and Finance",0.6405024063984066,0.8609106214016653,0.6745568105066678
1,13,"Career, Education, and Finance",0.9093098795150945,0.8076225365604952,0.7931110684293268
1,14,"Career, Education, and Finance",0.8792237511236984,0.8132125581852213,0.7928847765183643
1,15,"Career, Education, and Finance",0.7261946066288641,0.6137948979663529,0.6845209699136372
1,16,"Career, Education, and Finance",0.8362214274081425,0.9007922607201336,0.789426400063584
1,17,"Career, Education, and Finance",0.6882515517424734,0.3690901307300523,0.3682252825129272
1,18,"Career, Education, and Finance",0.6679250143661581,0.7113888143551881,0.5121180939293534
1,19,"Career, Education, and Finance",0.8853368256688907,0.9082945885179502,0.9124247291822672
1,20,"Career, Education, and Finance",0.7713859107137504,0.5800246593535383,0.4806820218084606
1,21,"Career, Education, and Finance",0.7898546967700373,0.6774613045754996,0.5865649126330614
1,22,"Career, Education, and Finance",0.7870674473511436,0.8095964285603618,0.7152296857837761
1,23,"Career, Education, and Finance",0.9139165615674872,0.8169520112416855,0.8063149213205097
1,24,"Career, Education, and Finance",0.5545928922170076,0.5123767896473167,0.6443074533312185
1,25,"Career, Education, and Finance",0.5502262454984314,0.6092101652039803,0.3952102177979819
1,26,"Career, Education, and Finance",0.8078041472409336,0.8440366495322409,0.7851724608214264
1,27,"Career, Education, and Finance",0.0819987774687028,0.8471365604968379,0.0968366952890053
1,28,"Career, Education, and Finance",0.2215869375398545,0.5658955655273255,0.1093982637171638
1,29,"Career, Education, and Finance",0.6494724114192164,0.7045388284674441,0.8886715457767382
1,30,"Career, Education, and Finance",0.5379190780896845,0.5675134279469423,0.5229780376292847
1,31,"Career, Education, and Finance",0.6044061333551116,0.6539442797723505,0.5005502443968883
1,32,"Career, Education, and Finance",0.6565012733893144,0.4770141503474885,0.7034247284790061
1,33,"Career, Education, and Finance",0.7503752513952879,0.7767348428134473,0.846440633822607
1,34,"Career, Education, and Finance",0.6249448782891666,0.8297636682701561,0.6727975999008091
2,1,"Career, Education, and Finance",0.8425074736413792,0.7711878604602216,0.8518088115354092
2,2,"Career, Education, and Finance",0.856455721827227,0.9101471419151842,0.8157648441270264
2,3,"Career, Education, and Finance",0.7904606535312265,0.8019611812748723,0.9817909881768062
2,4,"Career, Education, and Finance",0.7872408897463733,0.8346789096099723,0.8677731530603019
2,5,"Career, Education, and Finance",0.9199729994009668,0.6631297678301897,0.6538209377246309
2,6,"Career, Education, and Finance",0.948754464189636,0.926257209297942,0.9056026786562104
2,7,"Career, Education, and Finance",0.7873584150214085,0.8126456853013124,0.8021110080674193
2,8,"Career, Education, and Finance",0.7817370367360508,0.9003117092269621,0.7223295789422723
2,9,"Career, Education, and Finance",0.7918071881984123,0.9314571244398036,0.8151512539893919
2,10,"Career, Education, and Finance",0.8279175091948874,0.8762831529169991,0.8120985094127873
2,11,"Career, Education, and Finance",0.8158998139564922,0.872396314746348,0.8484817855416487
2,12,"Career, Education, and Finance",0.8640132803164173,0.7621718170834457,0.78005817156768
2,13,"Career, Education, and Finance",0.9940537155114098,0.9930507281066224,0.9875868067797384
2,14,"Career, Education, and Finance",0.8446701479076678,0.8175379039742963,0.809354462358661
2,15,"Career, Education, and Finance",0.939021836198638,0.8968063946479524,0.9212974966875934
2,16,"Career, Education, and Finance",0.9503882625968486,0.9999999999999978,0.9503882625968486
2,17,"Career, Education, and Finance",0.7931457919743414,0.9620792390531444,0.7772758009725409
2,18,"Career, Education, and Finance",0.8982527180902684,0.8924430328079606,0.9014975632747382
2,19,"Career, Education, and Finance",0.8032989029575787,0.8223696809252042,0.7690266604110751
2,20,"Career, Education, and Finance",0.4274734310824755,0.4307552232751813,0.8894099995268541
2,21,"Career, Education, and Finance",0.7895127346042004,0.9290010073867953,0.8132909836896709
2,22,"Career, Education, and Finance",0.8602468274798241,0.8423094536890758,0.8651027564435136
2,23,"Career, Education, and Finance",0.9828570373089248,0.9195513409088812,0.926381254179648
2,24,"Career, Education, and Finance",0.9552176720562274,0.8009068488148106,0.7976281508398113
